player,mp_x,fg_pct_x,trb_per_poss,ast_per_poss,stl_per_poss,blk_per_poss,pts_per_poss,off_rtg,def_rtg,per,ts_pct,trb_pct,ast_pct,usg_pct,ws,bpm,vorp,efg_pct,ft_per_g,fta_per_g,ft_pct_y,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,points_won
Victor Oladipo,0.3787978863936592,0.6095100864553313,0.36134453781512604,0.5683453237410072,0.8387096774193549,0.08771929824561403,0.5975103734439834,0.7428571428571429,0.8677685950413223,0.5695792880258901,0.75,0.3783783783783784,0.5419354838709677,0.6888888888888889,0.1513157894736842,0.19658119658119658,0.13131313131313133,0.7002881844380403,0.29896907216494845,0.35454545454545455,0.7866379310344828,0.1111111111111111,0.45045045045045046,0.358974358974359,0.485981308411215,0.7727272727272726,0.1111111111111111,0.45999999999999996,0.5263157894736842,0.5207756232686981,0.0
Kelly Olynyk,0.5984147952443857,0.6671469740634005,0.42436974789915966,0.27338129496402874,0.4516129032258064,0.17543859649122806,0.4398340248962655,0.8142857142857143,0.8925619834710744,0.46601941747572817,0.8815028901734103,0.42471042471042475,0.24516129032258066,0.4444444444444444,0.3092105263157895,0.09401709401709403,0.1414141414141414,0.8112391930835733,0.1958762886597938,0.20909090909090908,0.8857758620689656,0.16666666666666666,0.34234234234234234,0.3012820512820513,0.16822429906542058,0.3181818181818181,0.18518518518518517,0.27999999999999997,0.6052631578947368,0.27700831024930744,0.0
Cedi Osman,0.8071334214002642,0.6152737752161384,0.3067226890756302,0.28776978417266186,0.3870967741935484,0.03508771929824561,0.4170124481327801,0.7571428571428571,0.9752066115702479,0.37216828478964403,0.7745664739884393,0.3127413127413127,0.26021505376344084,0.4592592592592593,0.09868421052631579,-0.17948717948717952,-0.010101010101010102,0.7262247838616714,0.1958762886597938,0.21818181818181817,0.8394396551724139,0.1111111111111111,0.36936936936936937,0.3012820512820513,0.2429906542056075,0.36363636363636365,0.037037037037037035,0.3,0.6842105263157895,0.3601108033240997,0.0
Kelly Oubre,0.6390356671070013,0.6412103746397694,0.3361344537815126,0.1510791366906475,0.6774193548387097,0.2631578947368421,0.5352697095435685,0.75,0.9338842975206612,0.4919093851132686,0.796242774566474,0.3552123552123552,0.14623655913978495,0.5728395061728395,0.14473684210526316,-0.18803418803418806,-0.010101010101010102,0.7348703170028817,0.2783505154639176,0.3181818181818182,0.8351293103448276,0.18518518518518517,0.33333333333333337,0.3012820512820513,0.11214953271028037,0.5454545454545454,0.3333333333333333,0.3,0.6842105263157895,0.42105263157894735,0.0
Jabari Parker,0.5693527080581242,0.7103746397694524,0.49159663865546216,0.302158273381295,0.41935483870967744,0.14035087719298245,0.5373443983402489,0.7285714285714285,0.9338842975206612,0.5016181229773463,0.8092485549132948,0.5135135135135136,0.3032258064516129,0.6074074074074074,0.09210526315789473,-0.17948717948717952,0.0,0.7680115273775214,0.2061855670103093,0.2636363636363636,0.767241379310345,0.2222222222222222,0.4774774774774775,0.4230769230769231,0.22429906542056074,0.3181818181818181,0.18518518518518517,0.48,0.6052631578947368,0.40166204986149584,0.0
Tony Parker,0.3312417437252312,0.6628242074927954,0.1680672268907563,0.7194244604316546,0.3225806451612903,0.05263157894736842,0.533195020746888,0.7571428571428571,0.9669421487603306,0.4951456310679612,0.7398843930635838,0.17374517374517376,0.7161290322580645,0.6296296296296297,0.05921052631578948,-0.452991452991453,-0.08080808080808081,0.6829971181556195,0.16494845360824745,0.2,0.7909482758620692,0.05555555555555555,0.10810810810810811,0.09615384615384616,0.3457943925233645,0.18181818181818182,0.037037037037037035,0.26,0.2368421052631579,0.2631578947368421,0.0
Chris Paul,0.6132760898282695,0.6037463976945244,0.29411764705882354,0.8992805755395683,0.9677419354838709,0.08771929824561403,0.49585062240663896,0.8428571428571429,0.9008264462809917,0.6375404530744336,0.8092485549132948,0.3050193050193051,0.8451612903225806,0.5555555555555556,0.4342105263157895,0.25641025641025644,0.2424242424242424,0.7319884726224783,0.30927835051546393,0.3181818181818182,0.9288793103448276,0.1111111111111111,0.35135135135135137,0.2948717948717949,0.7663551401869159,0.9090909090909091,0.1111111111111111,0.52,0.6578947368421053,0.43213296398891965,0.0
Elfrid Payton,0.4128137384412153,0.6253602305475504,0.34453781512605036,0.8561151079136691,0.5161290322580645,0.10526315789473684,0.34439834024896265,0.7571428571428571,0.9338842975206612,0.45307443365695793,0.7254335260115606,0.35135135135135137,0.7204301075268817,0.4518518518518519,0.09868421052631579,-0.07692307692307693,0.04040404040404041,0.6844380403458212,0.13402061855670105,0.16363636363636364,0.800646551724138,0.2222222222222222,0.36936936936936937,0.33333333333333337,0.7102803738317757,0.45454545454545453,0.14814814814814814,0.54,0.5,0.2936288088642659,0.0
Mason Plumlee,0.571664464993395,0.8544668587896252,0.6260504201680672,0.49640287769784175,0.6129032258064515,0.3859649122807018,0.3755186721991701,0.8357142857142857,0.8677685950413223,0.5760517799352751,0.8699421965317918,0.6332046332046332,0.41935483870967744,0.39999999999999997,0.3815789473684211,0.3247863247863248,0.26262626262626265,0.8573487031700288,0.1443298969072165,0.21818181818181817,0.6045258620689656,0.37037037037037035,0.39639639639639646,0.4102564102564103,0.28037383177570097,0.36363636363636365,0.3333333333333333,0.3,0.8157894736842106,0.21606648199445982,0.0
Jakob Pöltl,0.4204095112285337,0.9293948126801153,0.6596638655462185,0.2589928057553957,0.3548387096774194,0.45614035087719296,0.33609958506224064,0.95,0.8925619834710744,0.627831715210356,0.9248554913294798,0.6795366795366796,0.21505376344086022,0.3234567901234568,0.3355263157894737,0.35897435897435903,0.20202020202020202,0.9293948126801153,0.061855670103092786,0.10909090909090909,0.574353448275862,0.4259259259259259,0.2702702702702703,0.33974358974358976,0.11214953271028037,0.18181818181818182,0.3333333333333333,0.12,0.4210526315789474,0.1523545706371191,0.0
Otto Porter,0.5558124174372523,0.670028818443804,0.3739495798319328,0.24460431654676257,0.7419354838709676,0.15789473684210525,0.45850622406639,0.7928571428571428,0.9256198347107438,0.5145631067961165,0.8222543352601155,0.38996138996138996,0.2279569892473118,0.471604938271605,0.2105263157894737,0.042735042735042736,0.10101010101010101,0.7867435158501441,0.1443298969072165,0.15454545454545454,0.8760775862068966,0.18518518518518517,0.4144144144144144,0.358974358974359,0.19626168224299068,0.6818181818181818,0.2222222222222222,0.24,0.5,0.3850415512465374,0.0
Bobby Portis,0.42899603698811095,0.6397694524495676,0.6218487394957983,0.19424460431654678,0.41935483870967744,0.12280701754385964,0.5414937759336099,0.7428571428571429,0.9256198347107438,0.5210355987055016,0.7644508670520231,0.6486486486486487,0.189247311827957,0.6074074074074074,0.10526315789473685,-0.24786324786324787,-0.0303030303030303,0.7262247838616714,0.15463917525773196,0.17272727272727273,0.8556034482758622,0.40740740740740744,0.5315315315315315,0.5192307692307693,0.1308411214953271,0.3181818181818181,0.14814814814814814,0.3,0.7631578947368421,0.3933518005540166,0.0
Dwight Powell,0.5488771466314399,0.8602305475504322,0.5042016806722689,0.23741007194244604,0.41935483870967744,0.2631578947368421,0.4937759336099585,0.9642857142857143,0.9090909090909091,0.6601941747572816,0.9855491329479769,0.5096525096525096,0.23010752688172043,0.4246913580246913,0.493421052631579,0.3418803418803419,0.25252525252525254,0.9178674351585013,0.2577319587628866,0.3,0.831896551724138,0.3333333333333333,0.3153153153153153,0.33974358974358976,0.14018691588785048,0.2727272727272727,0.2222222222222222,0.18,0.6842105263157895,0.2936288088642659,0.0
Norman Powell,0.3718626155878468,0.695965417867435,0.24789915966386555,0.2805755395683453,0.5483870967741935,0.10526315789473684,0.45643153526970953,0.7857142857142857,0.9008264462809917,0.4304207119741101,0.8612716763005779,0.2586872586872587,0.24946236559139784,0.4691358024691358,0.15789473684210525,-0.05982905982905983,0.04040404040404041,0.818443804034582,0.10309278350515465,0.11818181818181818,0.8911637931034484,0.05555555555555555,0.1891891891891892,0.14743589743589744,0.14018691588785048,0.3181818181818181,0.07407407407407407,0.22000000000000003,0.4210526315789474,0.2382271468144044,0.0
Julius Randle,0.7371202113606341,0.755043227665706,0.5546218487394957,0.3453237410071942,0.3548387096774194,0.15789473684210525,0.6763485477178424,0.8071428571428572,0.9256198347107438,0.6796116504854369,0.8670520231213872,0.5675675675675675,0.33978494623655914,0.6864197530864198,0.4013157894736842,0.11965811965811966,0.1919191919191919,0.7997118155619597,0.5051546391752578,0.6090909090909091,0.7877155172413793,0.40740740740740744,0.5855855855855856,0.5576923076923077,0.28971962616822433,0.3181818181818181,0.2222222222222222,0.5599999999999999,0.8947368421052632,0.5927977839335179,0.0
J.J. Redick,0.785667107001321,0.6340057636887607,0.15546218487394958,0.29496402877697836,0.1935483870967742,0.05263157894736842,0.5643153526970954,0.8428571428571429,0.9504132231404959,0.4886731391585761,0.8699421965317918,0.1583011583011583,0.27741935483870966,0.5407407407407407,0.38815789473684215,-0.05982905982905983,0.08080808080808081,0.8025936599423631,0.30927835051546393,0.3090909090909091,0.9633620689655173,0.05555555555555555,0.19819819819819823,0.15384615384615385,0.25233644859813087,0.18181818181818182,0.07407407407407407,0.26,0.4473684210526316,0.5013850415512465,0.0
Josh Richardson,0.8385072655217966,0.5936599423631124,0.21428571428571427,0.41007194244604317,0.48387096774193544,0.12280701754385964,0.483402489626556,0.7928571428571428,0.9090909090909091,0.45307443365695793,0.7745664739884393,0.21235521235521237,0.38494623655913973,0.5160493827160494,0.3684210526315789,0.05128205128205128,0.1717171717171717,0.7089337175792507,0.2783505154639176,0.29090909090909095,0.927801724137931,0.12962962962962962,0.26126126126126126,0.23076923076923078,0.38317757009345793,0.5,0.18518518518518517,0.3,0.7105263157894738,0.4598337950138504,0.0
Austin Rivers,0.6697490092470277,0.585014409221902,0.1638655462184874,0.28776978417266186,0.3548387096774194,0.08771929824561403,0.3070539419087137,0.7428571428571429,0.9586776859504132,0.24919093851132687,0.7268786127167629,0.1698841698841699,0.24731182795698925,0.35802469135802467,0.07894736842105263,-0.29914529914529914,-0.0707070707070707,0.7161383285302594,0.07216494845360825,0.11818181818181818,0.5668103448275863,0.05555555555555555,0.16216216216216217,0.13461538461538464,0.20560747663551404,0.2727272727272727,0.1111111111111111,0.18,0.7105263157894738,0.22437673130193905,0.0
Mitchell Robinson,0.44914134742404227,1.0,0.6302521008403361,0.09352517985611511,0.5806451612903226,1.0,0.3568464730290456,1.0,0.8760330578512396,0.7119741100323624,1.0,0.6293436293436294,0.0903225806451613,0.29876543209876544,0.4013157894736842,0.4871794871794872,0.27272727272727276,1.0,0.12371134020618557,0.18181818181818182,0.646551724137931,0.5,0.33333333333333337,0.4102564102564103,0.056074766355140186,0.36363636363636365,0.8888888888888888,0.1,0.868421052631579,0.20221606648199444,0.0
