player,pos,age,mp_x,fg_pct_x,trb_per_poss,ast_per_poss,stl_per_poss,blk_per_poss,pts_per_poss,off_rtg,def_rtg,per,ts_pct,trb_pct,ast_pct,usg_pct,ws,bpm,vorp,efg_pct,ft_per_g,fta_per_g,ft_pct_y,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,fga_per_g,points_won
Larry Johnson,PF,29,1639.0,0.45899999999999996,9.6,4.0,1.1,0.3,19.8,109.0,100.0,14.6,0.5539999999999999,10.2,13.5,18.1,4.9,2.5,1.9,0.495,2.7,3.3,0.8170000000000001,1.9,3.9,5.8,2.4,0.7,0.2,1.8,3.0,12.0,9.3,0.0
Eddie Jones,SF-SG,27,1881.0,0.43700000000000006,5.5,5.2,3.5,1.6,22.0,110.0,101.0,18.5,0.546,6.1,17.3,20.0,6.0,4.4,3.0,0.47700000000000004,4.2,5.4,0.782,1.0,2.9,3.9,3.7,2.5,1.2,1.9,2.6,15.6,11.9,0.0
Shawn Kemp,PF,29,1475.0,0.48200000000000004,14.6,3.8,1.8,1.7,32.5,110.0,99.0,23.6,0.578,16.8,14.9,28.9,6.3,4.7,2.5,0.483,7.3,9.3,0.789,3.1,6.1,9.2,2.4,1.1,1.1,3.0,3.8,20.5,13.7,7.0
Jason Kidd,PG,25,2060.0,0.444,8.8,14.0,3.0,0.5,21.9,113.0,102.0,22.5,0.527,9.6,44.0,21.4,8.1,5.8,4.1,0.47600000000000003,3.6,4.8,0.757,1.7,5.0,6.8,10.8,2.3,0.4,3.0,2.2,16.9,14.0,159.0
Kerry Kittles,SG,24,1570.0,0.37,6.4,3.9,2.6,0.9,19.8,97.0,104.0,13.5,0.446,6.7,13.3,20.5,1.8,-0.3,0.7,0.41100000000000003,1.9,2.5,0.772,1.1,3.0,4.2,2.5,1.7,0.6,1.4,1.8,12.9,13.3,0.0
Brevin Knight,PG,23,1186.0,0.425,6.1,14.1,3.3,0.3,17.5,100.0,100.0,16.6,0.495,7.0,47.6,19.8,2.5,0.1,0.6,0.425,2.7,3.6,0.745,0.4,2.9,3.4,7.7,1.8,0.2,2.7,2.9,9.6,8.1,0.0
Toni Kukoč,SF,30,1654.0,0.42,10.2,7.7,1.6,0.4,27.3,99.0,103.0,18.6,0.49,11.1,31.8,27.5,2.8,2.9,2.0,0.446,3.6,4.9,0.74,1.5,5.6,7.0,5.3,1.1,0.3,2.8,1.9,18.8,17.0,0.0
Grant Long,PF,32,1380.0,0.42100000000000004,12.1,2.2,2.3,0.7,19.9,108.0,96.0,15.6,0.529,12.6,7.3,18.3,4.9,2.1,1.4,0.425,3.7,4.7,0.7829999999999999,2.0,3.9,5.9,1.1,1.1,0.3,1.5,2.9,9.8,7.2,0.0
Felipe López,SG,24,1218.0,0.446,7.3,2.7,2.2,0.6,19.3,96.0,109.0,11.8,0.498,8.0,9.5,19.6,0.5,-2.5,-0.2,0.462,1.9,2.9,0.644,1.5,2.1,3.5,1.3,1.0,0.3,1.7,2.7,9.3,8.1,0.0
George Lynch,SF,28,1315.0,0.42100000000000004,11.5,3.1,3.5,0.9,14.7,95.0,95.0,12.8,0.461,12.3,10.1,16.0,2.6,2.1,1.4,0.434,1.2,2.0,0.631,2.6,3.9,6.5,1.8,2.0,0.5,1.8,3.3,8.3,8.1,0.0
Sam Mack,SF,28,1083.0,0.435,4.7,2.7,1.7,0.2,23.5,116.0,108.0,15.4,0.5760000000000001,5.1,9.3,19.0,2.8,0.0,0.6,0.5479999999999999,1.2,1.3,0.879,0.3,1.8,2.2,1.3,0.8,0.1,0.8,2.1,10.7,8.7,0.0
Dan Majerle,SG,33,1624.0,0.396,7.2,5.2,1.3,0.2,11.7,107.0,101.0,10.2,0.529,7.7,15.4,11.4,3.5,1.9,1.6,0.51,0.7,1.0,0.7170000000000001,0.4,3.9,4.3,3.1,0.8,0.1,1.1,2.1,7.0,6.2,0.0
Karl Malone,PF,35,1832.0,0.493,13.9,6.1,1.9,0.8,35.1,112.0,96.0,25.6,0.5770000000000001,15.4,23.0,30.5,9.6,6.8,4.1,0.493,7.7,9.8,0.7879999999999999,2.2,7.3,9.4,4.1,1.3,0.6,3.3,2.7,23.8,16.3,827.0
Danny Manning,PF,32,1184.0,0.484,9.9,5.1,1.6,1.7,20.4,104.0,103.0,15.4,0.52,10.8,16.2,19.7,2.6,-0.1,0.6,0.486,1.6,2.2,0.696,1.2,3.1,4.4,2.3,0.7,0.8,1.4,2.6,9.1,7.7,0.0
Stephon Marbury,PG,21,1895.0,0.428,3.9,12.1,1.6,0.2,29.0,108.0,107.0,20.8,0.519,4.2,44.0,27.2,5.3,1.8,1.8,0.465,4.5,5.7,0.799,0.8,2.1,2.9,8.9,1.2,0.2,3.3,2.6,21.3,18.0,0.0
Donyell Marshall,SF,25,1250.0,0.42100000000000004,14.8,2.9,2.0,1.6,22.9,100.0,98.0,16.9,0.484,14.6,9.7,22.3,3.0,1.2,1.0,0.447,1.8,2.5,0.727,2.4,4.7,7.1,1.4,1.0,0.8,1.7,2.6,11.0,10.3,0.0
Tony Massenburg,PF,31,1143.0,0.48700000000000004,12.1,1.1,1.2,1.8,22.7,103.0,107.0,15.9,0.527,13.2,4.0,20.9,1.8,-3.8,-0.5,0.48700000000000004,2.4,3.6,0.665,1.9,4.0,6.0,0.5,0.6,0.9,1.5,2.5,11.2,9.0,0.0
Vernon Maxwell,SG,33,1007.0,0.39,4.2,3.8,1.5,0.1,24.4,102.0,107.0,12.6,0.522,4.5,12.1,22.8,1.6,-2.3,-0.1,0.485,1.8,2.5,0.737,0.3,1.6,1.8,1.7,0.7,0.1,1.5,2.4,10.7,9.2,0.0
George McCloud,SF,31,1245.0,0.43799999999999994,6.9,3.4,1.9,0.6,18.3,114.0,104.0,13.6,0.591,7.6,10.0,15.3,3.3,1.2,1.0,0.545,1.6,1.8,0.862,0.7,2.7,3.4,1.6,0.9,0.3,1.0,2.7,8.9,6.8,0.0
Antonio McDyess,C,24,1937.0,0.47100000000000003,14.7,2.2,2.0,3.2,29.1,103.0,105.0,21.7,0.515,16.0,8.7,27.3,4.2,0.7,1.3,0.47100000000000003,4.6,6.8,0.68,3.4,7.4,10.7,1.6,1.5,2.3,2.8,3.5,21.2,17.6,0.0
Tracy McGrady,SF,19,1106.0,0.436,13.6,5.5,2.5,3.2,22.4,106.0,100.0,20.6,0.504,14.6,19.1,21.9,3.3,4.0,1.7,0.447,2.3,3.2,0.726,2.4,3.2,5.7,2.3,1.1,1.3,1.6,1.9,9.3,7.9,0.0
Ron Mercer,SG,22,1551.0,0.431,5.2,3.5,2.3,0.4,23.6,94.0,104.0,13.5,0.46299999999999997,5.6,12.2,24.2,1.3,-2.7,-0.3,0.435,2.0,2.6,0.79,0.9,2.9,3.8,2.5,1.6,0.3,2.2,2.0,17.0,17.2,0.0
Reggie Miller,SG,33,1787.0,0.43799999999999994,4.2,3.5,1.2,0.3,28.6,119.0,108.0,18.7,0.59,4.5,11.4,22.9,6.4,3.5,2.5,0.517,4.5,4.9,0.915,0.5,2.2,2.7,2.2,0.7,0.2,1.5,2.0,18.4,13.4,0.0
Chris Mills,SF,29,1395.0,0.41100000000000003,9.2,4.0,1.5,0.5,18.7,104.0,102.0,13.0,0.488,9.1,12.7,17.6,3.0,0.5,0.9,0.446,1.7,2.0,0.823,1.0,4.0,5.0,2.2,0.8,0.3,1.2,2.7,10.3,9.6,0.0
