pos,age,team_id,g,mp,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ws-dum,ows,dws,ws,ws_per_48,bpm-dum,obpm,dbpm,bpm,vorp
C,26,SDC,82,2525,15.3,.648,.000,.541,7.4,21.6,14.6,4.6,0.8,3.0,18.6,14.5,,3.9,1.9,5.8,.110,,-1.0,2.2,1.2,2.1
SF,29,UTA,81,1797,20.5,.552,.021,.485,9.0,10.6,9.9,12.0,2.2,0.1,12.9,32.9,,2.8,1.7,4.5,.121,,1.4,-2.5,-1.2,0.4
PG,25,KCK,73,2363,16.5,.513,.010,.305,1.6,5.6,3.5,34.3,2.4,0.2,14.3,23.1,,2.6,2.0,4.6,.093,,0.8,-1.7,-0.9,0.6
SG,21,POR,82,1408,14.5,.496,.007,.302,9.2,10.6,9.9,14.7,3.6,1.2,16.3,21.6,,0.5,1.9,2.4,.083,,-0.3,1.2,0.9,1.0
PG,29,MIL,17,404,16.4,.660,.354,.315,1.8,6.0,3.9,28.0,1.5,0.1,19.9,18.9,,1.0,0.4,1.4,.167,,3.6,-3.5,0.1,0.2
SG,28,DEN,80,2705,10.2,.523,.003,.392,7.4,15.1,11.1,9.1,2.8,0.6,18.3,7.4,,2.0,2.1,4.1,.073,,-1.4,3.9,2.6,3.1
C,27,UTA,82,2139,12.3,.490,.002,.296,7.7,20.8,14.6,6.4,0.5,8.5,17.2,10.6,,0.2,3.5,3.7,.084,,-3.4,5.3,1.9,2.1
PG,24,UTA,80,1034,10.6,.507,.020,.451,3.1,5.4,4.3,24.7,1.5,0.2,20.9,17.1,,0.1,0.6,0.7,.032,,-2.8,-2.4,-5.2,-0.8
SG,23,TOT,55,622,15.5,.545,.000,.393,8.0,7.1,7.5,7.5,1.9,0.6,13.9,27.1,,0.5,0.2,0.7,.058,,-1.5,-2.2,-3.7,-0.3
SG,23,SAS,40,521,16.2,.543,.000,.369,8.3,6.0,7.2,7.2,1.9,0.6,12.4,27.0,,0.6,0.2,0.8,.073,,-0.8,-2.2,-3.0,-0.1
SG,23,DEN,15,101,12.2,.552,.000,.532,6.1,12.8,9.4,9.1,1.7,0.5,21.6,27.6,,-0.1,0.0,0.0,-0.019,,-5.1,-2.2,-7.3,-0.1
PG,24,PHI,60,654,7.9,.417,.005,.217,2.1,7.9,5.1,19.1,2.3,0.4,16.0,18.2,,-0.6,0.8,0.1,.009,,-3.9,-1.5,-5.5,-0.6
C,28,PHO,72,1897,16.2,.570,.001,.311,6.6,14.9,10.7,13.9,0.6,0.9,13.1,23.1,,3.0,1.4,4.4,.112,,0.7,-1.1,-0.4,0.8
SG,22,HOU,7,63,8.2,.419,.000,.037,6.9,8.5,7.7,12.4,2.2,0.0,9.9,19.0,,0.0,0.1,0.0,.018,,-3.2,-1.0,-4.3,0.0
